,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
0,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.316167566235319,0.0589599609375,0.0
16,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.31364911654292577,0.0501708984375,0.0
32,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.3105030557273819,0.01885986328125,0.0
48,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.3111953281501463,0.0198974609375,0.0
64,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.3298353967860588,0.131866455078125,0.0
80,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.36558291890350697,0.270721435546875,0.0
96,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,max,lpips_vgg_0,0.48046875,0.316167566235319,0.0589599609375,0.0
112,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,max,lpips_vgg_1,0.48046875,0.31364911654292577,0.0501708984375,0.0
128,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,max,lpips_vgg_2,0.48046875,0.3105030557273819,0.01885986328125,0.0
144,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,max,lpips_vgg_3,0.48046875,0.3111953281501463,0.0198974609375,0.0
160,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,max,lpips_vgg_4,0.48046875,0.3298353967860588,0.131866455078125,0.0
176,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/art,clean,max,lpips_vgg_5,0.48046875,0.36558291890350697,0.270721435546875,0.0
1,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.4921875,0.5069421321728305,0.533935546875,0.0390625
17,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.5078125,0.5821819549332545,0.60723876953125,0.0703125
33,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.484375,0.4873765799695643,0.521636962890625,0.0234375
49,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.484375,0.4208326328836204,0.413116455078125,0.0078125
65,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.50390625,0.5452373284630323,0.5704345703125,0.0625
81,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.51953125,0.5563626204182063,0.56805419921875,0.09375
97,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,max,lpips_vgg_0,0.4921875,0.5069421321728305,0.533935546875,0.0390625
113,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,max,lpips_vgg_1,0.5078125,0.5821819549332545,0.60723876953125,0.0703125
129,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,max,lpips_vgg_2,0.484375,0.4873765799695643,0.521636962890625,0.0234375
145,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,max,lpips_vgg_3,0.484375,0.4208326328836204,0.413116455078125,0.0078125
161,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,max,lpips_vgg_4,0.50390625,0.5452373284630323,0.5704345703125,0.0625
177,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/IT2I/pixiv,clean,max,lpips_vgg_5,0.51953125,0.5563626204182063,0.56805419921875,0.09375
2,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.32199953845460155,0.08642578125,0.0
18,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.31245577484704046,0.030029296875,0.0
34,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.31489122302098277,0.046478271484375,0.0
50,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.3202738710048851,0.076507568359375,0.0
66,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.3407003054176185,0.173858642578125,0.0
82,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.34787895869951263,0.207550048828125,0.0
