,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
0,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.4776495210855759,0.5269775390625,0.0
20,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.4244716652091587,0.411651611328125,0.0
40,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.47122925188921316,0.49346923828125,0.0
60,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.47877834348750803,0.529388427734375,0.0
80,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.4730199539165041,0.531646728515625,0.0
100,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.5219567009066753,0.610137939453125,0.0
120,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_0,0.48046875,0.4776495210855759,0.5269775390625,0.0
140,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_1,0.48046875,0.4244716652091587,0.411651611328125,0.0
160,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_2,0.48046875,0.47122925188921316,0.49346923828125,0.0
180,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_3,0.48046875,0.47877834348750803,0.529388427734375,0.0
200,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_4,0.48046875,0.4730199539165041,0.531646728515625,0.0
220,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_5,0.48046875,0.5219567009066753,0.610137939453125,0.0
5,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.462039596278601,0.498443603515625,0.0
25,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.44098121464105344,0.442230224609375,0.0
45,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.484375,0.48200347807749455,0.510772705078125,0.0078125
65,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.435971526979511,0.447601318359375,0.0
85,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.4275946077965086,0.4381103515625,0.0
105,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.5166584086718117,0.599700927734375,0.0
125,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,max,lpips_vgg_0,0.48046875,0.462039596278601,0.498443603515625,0.0
145,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,max,lpips_vgg_1,0.48046875,0.44098121464105344,0.442230224609375,0.0
