,fake_dir,transform,repo_id,distance_metric,ap,tpr5fpr
0,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9980059392987964,1.0
17,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9236100579088002,0.44
34,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9992307692307693,1.0
51,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9979574812903886,1.0
68,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9780522595903662,0.98
85,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.9845840596361116,0.82
102,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_0,0.9980059392987964,1.0
119,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_1,0.9236100579088002,0.44
136,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_2,0.9992307692307693,1.0
153,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_3,0.9979574812903886,1.0
170,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_4,0.9780522595903662,0.98
187,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_art_nouveau,clean,max,lpips_vgg_5,0.9845840596361116,0.82
5,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9941886372646436,0.96
22,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9226149714266261,0.48
39,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9921601504762858,0.92
56,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9923636336846844,1.0
73,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9754569663396495,0.92
90,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.9900937458899643,0.88
107,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,max,lpips_vgg_0,0.9941886372646436,0.96
124,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,max,lpips_vgg_1,0.9226149714266261,0.48
141,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,max,lpips_vgg_2,0.9921601504762858,0.92
158,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_baroque,clean,max,lpips_vgg_3,0.9923636336846844,1.0
