image,class,prediction
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_102.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_104.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_107.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_118.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_119.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_124.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_126.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_128.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_133.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_134.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_135.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_14.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_142.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_15.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_151.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_153.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_155.png,1,0.0056
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_156.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_159.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_160.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_162.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_166.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_167.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_168.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_17.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_173.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_178.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_180.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_238.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_241.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_243.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_245.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_247.png,1,0.0
/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/StarryAI/T2I/art/Albrecht_Dи╣rer_248.png,1,0.0007
