,image,class,method,split,spai
0,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/auguste-herbin_green-landscape-1901.jpg,0,real,test,0.2823626399040222
1,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/meta-vaux-warrick-fuller_lazy-bones-1930.jpg,0,real,test,0.0003853359376080334
2,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/georg-pauli_french-confirmation.jpg,0,real,test,0.9999947547912598
3,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/samuel-mutzner_vedut-vene-ian.jpg,0,real,test,0.9999997615814209
4,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/edvard-munch_consolation-1894.jpg,0,real,test,5.972763617023702e-09
5,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/pierre-auguste-renoir_cagnes-landscape.jpg,0,real,test,0.9978737831115723
6,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/pierre-auguste-renoir_roses-in-a-blue-vase-1.jpg,0,real,test,0.9999996423721313
7,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/joseph-decamp_la-penserosa-1908.jpg,0,real,test,0.9999567270278931
8,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/giovanni-boldini_the-woman-in-red.jpg,0,real,test,7.407750217680587e-07
9,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/alfred-sisley_the-blocked-seine-at-port-marly-1876.jpg,0,real,test,0.09770696610212326
10,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ivan-mrkvicka_zadushnitsa-1890.jpg,0,real,test,0.9742720723152161
11,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/emil-carlsen_the-south-strand-1909.jpg,0,real,test,3.16676755574008e-06
12,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/albert-aublet_lheure-du-bain-au-treport.jpg,0,real,test,0.5740994811058044
13,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/fujishima-takeji_sunrise-over-mongolia.jpg,0,real,test,0.5352650880813599
14,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/henry-ossawa-tanner_daniel-in-the-lions-den-1917.jpg,0,real,test,0.8666982054710388
15,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ramon-casas_over-my-dead-body.jpg,0,real,test,0.9995844960212708
16,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/john-singer-sargent_bedouin-women-carrying-water-jars-1891.jpg,0,real,test,1.0
17,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ilya-mashkov_georgia-kazbek-view-of-the-mountain-kabardzhino-and-village.jpg,0,real,test,0.9954994320869446
18,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ivan-mrkvicka_marketplace-in-plovdiv.jpg,0,real,test,0.9999978542327881
19,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/paul-albert-besnard_cardinal-mercier-1916.jpg,0,real,test,7.964005363926378e-15
20,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/mikhail-nesterov_pentecost-1881.jpg,0,real,test,0.9964861869812012
21,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ramon-casas_courtyard-of-the-old-barcelona-prison-courtyard-of-the-lambs.jpg,0,real,test,1.0
22,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/charles-courtney-curran_fair-critics-1887.jpg,0,real,test,0.9116822481155396
