,image,class,method,split
0,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/auguste-herbin_green-landscape-1901.jpg,0,real,test
1,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/meta-vaux-warrick-fuller_lazy-bones-1930.jpg,0,real,test
2,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/georg-pauli_french-confirmation.jpg,0,real,test
3,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/samuel-mutzner_vedut-vene-ian.jpg,0,real,test
4,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/edvard-munch_consolation-1894.jpg,0,real,test
5,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/pierre-auguste-renoir_cagnes-landscape.jpg,0,real,test
6,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/pierre-auguste-renoir_roses-in-a-blue-vase-1.jpg,0,real,test
7,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/joseph-decamp_la-penserosa-1908.jpg,0,real,test
8,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/giovanni-boldini_the-woman-in-red.jpg,0,real,test
9,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/alfred-sisley_the-blocked-seine-at-port-marly-1876.jpg,0,real,test
10,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ivan-mrkvicka_zadushnitsa-1890.jpg,0,real,test
11,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/emil-carlsen_the-south-strand-1909.jpg,0,real,test
12,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/albert-aublet_lheure-du-bain-au-treport.jpg,0,real,test
13,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/fujishima-takeji_sunrise-over-mongolia.jpg,0,real,test
14,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/henry-ossawa-tanner_daniel-in-the-lions-den-1917.jpg,0,real,test
15,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ramon-casas_over-my-dead-body.jpg,0,real,test
16,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/john-singer-sargent_bedouin-women-carrying-water-jars-1891.jpg,0,real,test
17,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ilya-mashkov_georgia-kazbek-view-of-the-mountain-kabardzhino-and-village.jpg,0,real,test
18,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ivan-mrkvicka_marketplace-in-plovdiv.jpg,0,real,test
19,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/paul-albert-besnard_cardinal-mercier-1916.jpg,0,real,test
20,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/mikhail-nesterov_pentecost-1881.jpg,0,real,test
21,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/ramon-casas_courtyard-of-the-old-barcelona-prison-courtyard-of-the-lambs.jpg,0,real,test
22,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/charles-courtney-curran_fair-critics-1887.jpg,0,real,test
23,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/antonio-de-la-gandara_volupte.jpg,0,real,test
24,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/antoine-blanchard_place-de-la-madeleine-hiver.jpg,0,real,test
25,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/fernand-combes_vieux-paris-quartier-st-victor-la-rue-des-boulangers-1910.jpg,0,real,test
26,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/paul-albert-besnard_family-1890.jpg,0,real,test
27,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/andre-dunoyer-de-segonzac_la-blonde-vaporouse.jpg,0,real,test
28,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/john-singer-sargent_in-switzerland-1908.jpg,0,real,test
29,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/william-merritt-chase_coastal-view.jpg,0,real,test
30,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/antoine-blanchard_arc-de-triomphe-2.jpg,0,real,test
31,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/john-henry-twachtman_the-cascade.jpg,0,real,test
32,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/henry-herbert-la-thangue_the-aqueduct.jpg,0,real,test
33,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/maximilien-luce_the-large-garden-in-montrouge-1876.jpg,0,real,test
34,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/jan-toorop_the-sea-at-katwijk-1887.jpg,0,real,test
35,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/valentin-serov_portrait-of-the-artist-ilya-repin-1892.jpg,0,real,test
36,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/frantisek-kupka_the-tree-1906.jpg,0,real,test
37,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/frits-thaulow_cottage-by-a-stream.jpg,0,real,test
38,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/maynard-dixon_abandoned-ranch-1935.jpg,0,real,test
39,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/martin-rico_gathering-oranges-granada.jpg,0,real,test
40,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/impressionism/lovis-corinth_cala-lilies-and-lilacs-with-a-bronze-figurine.jpg,0,real,test
