INFO:__main__:Test: [100/13197] | Time 1.125 (0.737) | Loss 0.1225 (4.0247) | Mem 1793MB
INFO:__main__:Test: [200/13197] | Time 0.298 (0.751) | Loss 4.7336 (3.6551) | Mem 1793MB
INFO:__main__:Test: [300/13197] | Time 1.128 (0.733) | Loss 0.0000 (4.0148) | Mem 1793MB
INFO:__main__:Test: [400/13197] | Time 1.129 (0.741) | Loss 0.0000 (3.9586) | Mem 2099MB
INFO:__main__:Test: [500/13197] | Time 0.640 (0.753) | Loss 0.2221 (3.8297) | Mem 2099MB
INFO:__main__:Test: [600/13197] | Time 0.299 (0.750) | Loss 0.0000 (4.2416) | Mem 2721MB
INFO:__main__:Test: [700/13197] | Time 1.133 (0.732) | Loss 0.0000 (4.0413) | Mem 2721MB
INFO:__main__:Test: [800/13197] | Time 0.646 (0.731) | Loss 0.0245 (4.0912) | Mem 2721MB
INFO:__main__:Test: [900/13197] | Time 0.303 (0.729) | Loss 18.4350 (4.1373) | Mem 2721MB
INFO:__main__:Test: [1000/13197] | Time 1.135 (0.732) | Loss 0.0000 (4.2006) | Mem 2721MB
INFO:__main__:Test: [1100/13197] | Time 1.142 (0.726) | Loss 0.0001 (4.1353) | Mem 2721MB
INFO:__main__:Test: [1200/13197] | Time 1.139 (0.730) | Loss 0.3391 (4.1360) | Mem 2721MB
INFO:__main__:Test: [1300/13197] | Time 0.651 (0.732) | Loss 0.0441 (4.0709) | Mem 2721MB
INFO:__main__:Test: [1400/13197] | Time 0.309 (0.738) | Loss 0.0000 (4.0704) | Mem 2721MB
INFO:__main__:Test: [1500/13197] | Time 1.140 (0.739) | Loss 0.8765 (4.0105) | Mem 2721MB
INFO:__main__:Test: [1600/13197] | Time 0.376 (0.741) | Loss 0.0001 (3.9741) | Mem 2721MB
INFO:__main__:Test: [1700/13197] | Time 0.652 (0.744) | Loss 0.0001 (3.9870) | Mem 2721MB
INFO:__main__:Test: [1800/13197] | Time 1.153 (0.745) | Loss 0.3219 (3.9639) | Mem 2721MB
INFO:__main__:Test: [1900/13197] | Time 1.144 (0.745) | Loss 0.0034 (3.9969) | Mem 2721MB
INFO:__main__:Test: [2000/13197] | Time 0.585 (0.749) | Loss 0.0000 (3.9402) | Mem 2721MB
INFO:__main__:Test: [2100/13197] | Time 1.145 (0.749) | Loss 0.3592 (3.9617) | Mem 2721MB
INFO:__main__:Test: [2200/13197] | Time 0.378 (0.751) | Loss 15.6666 (4.0160) | Mem 2721MB
INFO:__main__:Test: [2300/13197] | Time 1.145 (0.750) | Loss 0.0000 (3.9960) | Mem 2721MB
INFO:__main__:Test: [2400/13197] | Time 1.150 (0.751) | Loss 0.0000 (3.9794) | Mem 2721MB
INFO:__main__:Test: [2500/13197] | Time 1.157 (0.757) | Loss 0.2691 (3.9439) | Mem 2721MB
INFO:__main__:Test: [2600/13197] | Time 0.319 (0.757) | Loss 0.0000 (3.9761) | Mem 2876MB
INFO:__main__:Test: [2700/13197] | Time 1.153 (0.758) | Loss 0.0344 (3.9746) | Mem 2876MB
INFO:__main__:Test: [2800/13197] | Time 0.456 (0.759) | Loss 0.0032 (3.9267) | Mem 2876MB
INFO:__main__:Test: [2900/13197] | Time 1.156 (0.760) | Loss 0.3954 (3.9249) | Mem 2876MB
INFO:__main__:Test: [3000/13197] | Time 0.460 (0.761) | Loss 0.3620 (3.9047) | Mem 2876MB
INFO:__main__:Test: [3100/13197] | Time 0.326 (0.760) | Loss 0.0000 (3.8944) | Mem 2876MB
INFO:__main__:Test: [3200/13197] | Time 0.855 (0.762) | Loss 0.0001 (3.9128) | Mem 2876MB
INFO:__main__:Test: [3300/13197] | Time 0.392 (0.761) | Loss 0.0012 (3.9288) | Mem 2876MB
INFO:__main__:Test: [3400/13197] | Time 0.335 (0.763) | Loss 0.0000 (3.9138) | Mem 3263MB
INFO:__main__:Test: [3500/13197] | Time 1.160 (0.763) | Loss 0.0000 (3.9511) | Mem 3263MB
INFO:__main__:Test: [3600/13197] | Time 0.332 (0.764) | Loss 20.5399 (4.0290) | Mem 7527MB
INFO:__main__:Test: [3700/13197] | Time 1.162 (0.765) | Loss 0.0000 (4.0271) | Mem 7527MB
INFO:__main__:Test: [3800/13197] | Time 1.163 (0.765) | Loss 0.0000 (4.0363) | Mem 7527MB
INFO:__main__:Test: [3900/13197] | Time 1.164 (0.765) | Loss 0.0000 (4.0635) | Mem 7527MB
INFO:__main__:Test: [4000/13197] | Time 0.676 (0.765) | Loss 0.5232 (4.0518) | Mem 7527MB
INFO:__main__:Test: [4100/13197] | Time 1.168 (0.765) | Loss 1.1663 (4.0601) | Mem 7527MB
INFO:__main__:Test: [4200/13197] | Time 0.397 (0.767) | Loss 0.0000 (4.0688) | Mem 7527MB
INFO:__main__:Test: [4300/13197] | Time 1.168 (0.767) | Loss 0.0000 (4.0318) | Mem 7527MB
INFO:__main__:Test: [4400/13197] | Time 1.167 (0.769) | Loss 0.5169 (4.0067) | Mem 7527MB
INFO:__main__:Test: [4500/13197] | Time 0.475 (0.770) | Loss 0.0000 (4.0005) | Mem 7527MB
INFO:__main__:Test: [4600/13197] | Time 1.171 (0.770) | Loss 0.0208 (3.9832) | Mem 7527MB
INFO:__main__:Test: [4700/13197] | Time 0.401 (0.771) | Loss 9.2434 (3.9686) | Mem 7527MB
INFO:__main__:Test: [4800/13197] | Time 1.175 (0.771) | Loss 0.0494 (3.9904) | Mem 7527MB
INFO:__main__:Test: [4900/13197] | Time 0.404 (0.772) | Loss 5.8603 (4.0067) | Mem 7527MB
INFO:__main__:Test: [5000/13197] | Time 1.175 (0.774) | Loss 0.0000 (4.0229) | Mem 7527MB
INFO:__main__:Test: [5100/13197] | Time 1.178 (0.774) | Loss 0.0000 (4.0038) | Mem 7527MB
INFO:__main__:Test: [5200/13197] | Time 1.176 (0.775) | Loss 2.2389 (4.0066) | Mem 7527MB
INFO:__main__:Test: [5300/13197] | Time 1.179 (0.777) | Loss 0.0000 (4.0019) | Mem 7527MB
INFO:__main__:Test: [5400/13197] | Time 1.177 (0.777) | Loss 0.0000 (4.0156) | Mem 7527MB
INFO:__main__:Test: [5500/13197] | Time 1.181 (0.778) | Loss 0.0000 (4.0071) | Mem 7527MB
INFO:__main__:Test: [5600/13197] | Time 1.181 (0.779) | Loss 0.0000 (3.9929) | Mem 7527MB
INFO:__main__:Test: [5700/13197] | Time 1.182 (0.780) | Loss 0.0000 (3.9953) | Mem 7527MB
INFO:__main__:Test: [5800/13197] | Time 0.692 (0.780) | Loss 0.0000 (3.9725) | Mem 7527MB
INFO:__main__:Test: [5900/13197] | Time 0.350 (0.781) | Loss 0.0000 (3.9524) | Mem 7527MB
INFO:__main__:Test: [6000/13197] | Time 0.567 (0.782) | Loss 0.0004 (3.9476) | Mem 7527MB
INFO:__main__:Test: [6100/13197] | Time 0.415 (0.782) | Loss 0.0000 (3.9643) | Mem 7527MB
INFO:__main__:Test: [6200/13197] | Time 0.689 (0.783) | Loss 0.0194 (4.0086) | Mem 7527MB
INFO:__main__:Test: [6300/13197] | Time 0.550 (0.784) | Loss 4.0294 (4.0383) | Mem 7527MB
INFO:__main__:Test: [6400/13197] | Time 0.353 (0.784) | Loss 32.0562 (4.0356) | Mem 7527MB
INFO:__main__:Test: [6500/13197] | Time 0.421 (0.785) | Loss 0.0000 (4.0366) | Mem 7527MB
INFO:__main__:Test: [6600/13197] | Time 0.621 (0.785) | Loss 35.3724 (4.0646) | Mem 7527MB
INFO:__main__:Test: [6700/13197] | Time 0.425 (0.785) | Loss 16.3310 (4.0597) | Mem 7527MB
INFO:__main__:Test: [6800/13197] | Time 0.493 (0.787) | Loss 0.0005 (4.0389) | Mem 7527MB
INFO:__main__:Test: [6900/13197] | Time 0.430 (0.787) | Loss 12.9141 (4.0306) | Mem 7527MB
INFO:__main__:Test: [7000/13197] | Time 0.425 (0.788) | Loss 0.0000 (4.0407) | Mem 7527MB
INFO:__main__:Test: [7100/13197] | Time 0.365 (0.789) | Loss 23.3128 (4.0958) | Mem 7527MB
INFO:__main__:Test: [7200/13197] | Time 1.195 (0.790) | Loss 0.0001 (4.0534) | Mem 7527MB
INFO:__main__:Test: [7300/13197] | Time 0.431 (0.792) | Loss 73.8391 (4.0787) | Mem 7527MB
INFO:__main__:Test: [7400/13197] | Time 1.193 (0.792) | Loss 3.5676 (4.0652) | Mem 7527MB
INFO:__main__:Test: [7500/13197] | Time 0.678 (0.792) | Loss 3.4063 (4.0382) | Mem 7527MB
INFO:__main__:Test: [7600/13197] | Time 1.202 (0.793) | Loss 0.0000 (4.0290) | Mem 7527MB
INFO:__main__:Test: [7700/13197] | Time 0.711 (0.795) | Loss 0.0004 (4.0217) | Mem 7527MB
INFO:__main__:Test: [7800/13197] | Time 1.426 (0.795) | Loss 0.0000 (4.0222) | Mem 7527MB
INFO:__main__:Test: [7900/13197] | Time 0.435 (0.796) | Loss 0.0199 (4.0075) | Mem 7527MB
INFO:__main__:Test: [8000/13197] | Time 1.213 (0.797) | Loss 0.0151 (4.0038) | Mem 7527MB
INFO:__main__:Test: [8100/13197] | Time 0.569 (0.798) | Loss 55.1407 (4.0290) | Mem 7527MB
INFO:__main__:Test: [8200/13197] | Time 0.714 (0.799) | Loss 5.0775 (4.0224) | Mem 7527MB
INFO:__main__:Test: [8300/13197] | Time 1.212 (0.800) | Loss 0.1089 (4.0126) | Mem 7527MB
INFO:__main__:Test: [8400/13197] | Time 0.376 (0.801) | Loss 0.0000 (4.0183) | Mem 7527MB
INFO:__main__:Test: [8500/13197] | Time 1.402 (0.802) | Loss 0.0000 (4.0262) | Mem 7527MB
INFO:__main__:Test: [8600/13197] | Time 0.379 (0.803) | Loss 0.0000 (4.0372) | Mem 7527MB
INFO:__main__:Test: [8700/13197] | Time 1.215 (0.804) | Loss 0.0000 (4.0286) | Mem 7527MB
INFO:__main__:Test: [8800/13197] | Time 1.217 (0.805) | Loss 0.0000 (4.0339) | Mem 7527MB
INFO:__main__:Test: [8900/13197] | Time 1.267 (0.806) | Loss 5.6151 (4.0405) | Mem 7527MB
INFO:__main__:Test: [9000/13197] | Time 1.268 (0.806) | Loss 0.0812 (4.0485) | Mem 7527MB
INFO:__main__:Test: [9100/13197] | Time 0.450 (0.807) | Loss 29.1657 (4.0619) | Mem 7527MB
INFO:__main__:Test: [9200/13197] | Time 1.227 (0.807) | Loss 0.0004 (4.0561) | Mem 7527MB
INFO:__main__:Test: [9300/13197] | Time 0.386 (0.808) | Loss 0.0006 (4.0495) | Mem 7527MB
INFO:__main__:Test: [9400/13197] | Time 0.577 (0.809) | Loss 13.4928 (4.0323) | Mem 7527MB
INFO:__main__:Test: [9500/13197] | Time 0.395 (0.810) | Loss 0.0000 (4.0244) | Mem 7527MB
INFO:__main__:Test: [9600/13197] | Time 0.385 (0.810) | Loss 0.0000 (4.0326) | Mem 7527MB
INFO:__main__:Test: [9700/13197] | Time 1.232 (0.811) | Loss 0.0019 (4.0264) | Mem 7527MB
INFO:__main__:Test: [9800/13197] | Time 1.222 (0.812) | Loss 0.0000 (4.0246) | Mem 7527MB
INFO:__main__:Test: [9900/13197] | Time 0.728 (0.813) | Loss 3.0506 (4.0105) | Mem 7527MB
INFO:__main__:Test: [10000/13197] | Time 1.227 (0.814) | Loss 0.0000 (4.0129) | Mem 7527MB
INFO:__main__:Test: [10100/13197] | Time 1.230 (0.815) | Loss 0.0000 (4.0297) | Mem 7527MB
INFO:__main__:Test: [10200/13197] | Time 1.227 (0.815) | Loss 0.0003 (4.0316) | Mem 7527MB
INFO:__main__:Test: [10300/13197] | Time 1.230 (0.817) | Loss 0.0000 (4.0232) | Mem 7527MB
INFO:__main__:Test: [10400/13197] | Time 1.232 (0.819) | Loss 0.2902 (4.0132) | Mem 7527MB
INFO:__main__:Test: [10500/13197] | Time 1.236 (0.819) | Loss 0.0000 (4.0377) | Mem 7527MB
INFO:__main__:Test: [10600/13197] | Time 1.232 (0.820) | Loss 0.0000 (4.0438) | Mem 7527MB
INFO:__main__:Test: [10700/13197] | Time 0.394 (0.820) | Loss 0.0000 (4.0545) | Mem 7527MB
INFO:__main__:Test: [10800/13197] | Time 0.920 (0.821) | Loss 9.1205 (4.0578) | Mem 7527MB
INFO:__main__:Test: [10900/13197] | Time 1.232 (0.822) | Loss 0.0000 (4.0530) | Mem 7527MB
INFO:__main__:Test: [11000/13197] | Time 1.234 (0.822) | Loss 0.0000 (4.0476) | Mem 7527MB
INFO:__main__:Test: [11100/13197] | Time 1.427 (0.823) | Loss 0.0000 (4.0505) | Mem 7527MB
INFO:__main__:Test: [11200/13197] | Time 1.238 (0.824) | Loss 0.0000 (4.0391) | Mem 7527MB
INFO:__main__:Test: [11300/13197] | Time 0.407 (0.825) | Loss 0.0000 (4.0505) | Mem 7527MB
INFO:__main__:Test: [11400/13197] | Time 1.422 (0.826) | Loss 0.0000 (4.0458) | Mem 7527MB
INFO:__main__:Test: [11500/13197] | Time 1.238 (0.827) | Loss 0.0000 (4.0355) | Mem 7527MB
INFO:__main__:Test: [11600/13197] | Time 1.239 (0.828) | Loss 0.0010 (4.0465) | Mem 7527MB
INFO:__main__:Test: [11700/13197] | Time 0.701 (0.829) | Loss 2.8724 (4.0402) | Mem 7527MB
INFO:__main__:Test: [11800/13197] | Time 0.490 (0.831) | Loss 0.3502 (4.0551) | Mem 7527MB
INFO:__main__:Test: [11900/13197] | Time 0.419 (0.831) | Loss 0.0000 (4.0611) | Mem 7527MB
INFO:__main__:Test: [12000/13197] | Time 1.442 (0.832) | Loss 1.2390 (4.0641) | Mem 7527MB
INFO:__main__:Test: [12100/13197] | Time 1.253 (0.833) | Loss 0.0000 (4.0637) | Mem 7527MB
INFO:__main__:Test: [12200/13197] | Time 0.787 (0.834) | Loss 0.0000 (4.0639) | Mem 7527MB
INFO:__main__:Test: [12300/13197] | Time 1.453 (0.834) | Loss 0.0090 (4.0563) | Mem 7527MB
INFO:__main__:Test: [12400/13197] | Time 1.474 (0.833) | Loss 0.0000 (4.0697) | Mem 7527MB
INFO:__main__:Test: [12500/13197] | Time 0.609 (0.834) | Loss 0.0000 (4.0726) | Mem 7527MB
INFO:__main__:Test: [12600/13197] | Time 1.251 (0.835) | Loss 0.3119 (4.0685) | Mem 7527MB
INFO:__main__:Test: [12700/13197] | Time 0.422 (0.836) | Loss 0.0011 (4.0550) | Mem 7527MB
INFO:__main__:Test: [12800/13197] | Time 1.262 (0.837) | Loss 0.0001 (4.0625) | Mem 7527MB
INFO:__main__:Test: [12900/13197] | Time 0.764 (0.838) | Loss 0.0000 (4.0624) | Mem 7527MB
INFO:__main__:Test: [13000/13197] | Time 1.514 (0.839) | Loss 0.0000 (4.0659) | Mem 7527MB
INFO:__main__:Test: [13100/13197] | Time 0.759 (0.840) | Loss 3.8805 (4.0542) | Mem 7527MB
INFO:__main__:Test | ariaTest | Images: 13197 | loss: 4.0664
INFO:__main__:Test | ariaTest | Images: 13197 | ACC: 0.741
INFO:__main__:Test | ariaTest | Images: 13197 | AP: 0.969
INFO:__main__:Test | ariaTest | Images: 13197 | AUC: 0.823
